구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,충북,단양,단성면,54,64,33,26,24,23
도시대기,충북,단양,단양읍,58,62,32,24,21,17
도시대기,충북,진천,진천읍,75,75,40,31,24,22
도시대기,충북,진천,덕산읍,75,76,41,32,25,24
도시대기,충북,옥천,옥천읍,61,63,31,22,20,21
도시대기,충북,영동,영동읍,59,64,29,21,20,19
도시대기,충북,영동,황간면,58,61,29,24,21,15
도시대기,충북,증평,증평읍,62,62,33,27,27,24
도시대기,충북,증평,도안면,73,75,39,31,25,21
도시대기,충북,보은,보은읍,65,68,32,25,20,21
도시대기,충남,천안,성황동,73,75,41,31,26,25
도시대기,충남,천안,백석동,78,95*,-,-,25,27
도시대기,충남,천안,성거읍,92,86,44,29,26,23
도시대기,충남,천안,신방동,80,82,45,36,33,32
도시대기,충남,당진,송산면,99,93,58,41,33,35
도시대기,충남,당진,당진시청사,73,79,52,40,33,30
도시대기,충남,당진,합덕읍,69,74,41,24,19,20
도시대기,충남,서산,독곶리,68,78,42,26,24,24
도시대기,충남,서산,동문동,68,80,44,31,28,25
도시대기,충남,서산,대산리,61,67,36,22,22,21
도시대기,충남,서산,성연면,63,71,36,22,21,20
도시대기,충남,아산,모종동,76,80,42,34,28,28
도시대기,충남,아산,배방읍,85,92,50,38,32,32
도시대기,충남,아산,도고면,76,76,46,36,27,28
도시대기,충남,아산,둔포면,81,78,46,35,32,29
도시대기,충남,아산,인주면,78,81,47,38,32,31
도시대기,충남,아산,송악면,77,82,41,30,25,24
도시대기,충남,논산,논산,68,67,37,29,26,24
도시대기,충남,논산,연무읍사무소,67,66,33,22,19,20
도시대기,충남,논산,성동면,80,76,39,24,19,22
도시대기,충남,태안,이원면,62,77,42,29,33,31
도시대기,충남,태안,태안읍,71,81,41,26,28,25
도시대기,충남,태안,원북면,57,71,34,21,20,19
도시대기,충남,보령,대천2동,57,65,34,26,20,20
도시대기,충남,보령,주교면,68,69,37,23,20,23
도시대기,충남,홍성,홍성읍,65,67,37,29,24,25
도시대기,충남,홍성,내포,64,70,35,23,22,21
도시대기,충남,공주,공주,64,69,33,26,22,21
도시대기,충남,공주,탄천면,71,73,38,31,25,26
도시대기,충남,부여,부여읍,65,69,36,27,25,25
도시대기,충남,청양,청양읍,61,63,34,27,24,25
도시대기,충남,청양,정산면사무소,67,73,33,23,20,21
도시대기,충남,금산,금산읍,63,63,34,25,20,23
도시대기,충남,예산,예산군,59,60,35,23,22,21
도시대기,충남,예산,삽교읍,72,79,47,34,26,28
도시대기,충남,예산,고덕면,-,-,-,-,18,22
도시대기,충남,계룡,엄사면,69,75,33,23,19,22
도시대기,충남,서천,서천읍,71,76,39,21,19,22
도시대기,충남,서천,서면,61,57,28,18,20,25
도시대기,충남,서천,장항읍,64,73,37,22,21,24
도시대기,전북,임실,임실읍,67,59,33,25,19,19
도시대기,전북,임실,관촌면,74,64,37,29,21,24
도시대기,전북,전주,효자동,72,68,41,33,25,27
도시대기,전북,전주,삼천동,69,62,32,23,21,31
도시대기,전북,전주,팔복동,75,74,42,34,27,29
도시대기,전북,전주,노송동,73,66,35,25,19,24
도시대기,전북,전주,송천동,76,71,40,29,20,25
도시대기,전북,전주,혁신동,66,66,39,31,23,24
도시대기,전북,전주,여의동,77,76,44,38,25,28
도시대기,전북,군산,신풍동,76,86,43,30,23,24
도시대기,전북,군산,소룡동,76,87,46,31,22,27
도시대기,전북,군산,사정동,69,76,40,27,21,26
도시대기,전북,군산,옥산면,68,73,37,27,21,24
도시대기,전북,군산,비응도동,75,90,44,27,24,28
도시대기,전북,군산,소룡동2,67,80,40,25,20,23
도시대기,전북,익산,함열읍,76,80,45,34,26,27
도시대기,전북,익산,팔봉동,73,75,45,34,27,27
도시대기,전북,익산,모현동,73,77,42,30,22,23
도시대기,전북,익산,삼기면,72,74,43,31,24,28
도시대기,전북,익산,용동면,77,80,48,39,32,34
도시대기,전북,익산,춘포면,73,66,42,34,20,28
도시대기,전북,익산,여산면,71,74,40,33,24,24
도시대기,전북,남원,죽항동,60,57,32,20,22,24
도시대기,전북,남원,운봉읍,55,57,28,16,22,25
도시대기,전북,정읍,연지동,66,66,36,24,20,22
