구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,세종특별자치시,세종특별자치시,부강면,0.0024,0.0021,0.0024,0.0031,0.0027,0.0026
도시대기,세종특별자치시,세종특별자치시,전의면,0.0032,0.0023,0.0024,0.0026,0.0024,0.0027
도시대기,경기도,수원,인계동,0.0029,0.0019,0.0023,0.0021,0.0017,0.0021
도시대기,경기도,수원,신풍동,0.0021,0.0014,0.0016,0.0022,0.002,0.0022
도시대기,경기도,수원,광교동,0.0024,0.0014,0.0015,0.0017,0.0018,0.0021
도시대기,경기도,수원,영통동,0.0021,0.0017,0.0016,0.0015,0.0016,0.0014
도시대기,경기도,수원,천천동,0.0026,0.0017,0.0018,0.0017,0.0016,0.0017
도시대기,경기도,수원,고색동,0.0025,0.0022,0.0022,0.002,0.0021,0.0022
도시대기,경기도,수원,호매실동,0.0017,0.0013,0.0014,0.0014,0.0018,0.0017
도시대기,경기도,안양,안양8동,0.0025,0.002,0.0017,0.0018,0.0018,0.0017
도시대기,경기도,안양,부림동,0.0028,0.0024,0.0029,0.003,0.0032,0.0028
도시대기,경기도,안양,호계동,0.0027,0.0026,0.0031,0.0033,0.003,0.0028
도시대기,경기도,안양,안양2동,0.0027,0.0022,0.0022,0.0019,0.002,0.0026
도시대기,경기도,성남,단대동,0.0021,0.0016,0.0017,0.0016,0.0015,0.0015
도시대기,경기도,성남,정자동,0.0019,0.0016,0.0016,0.0018,0.0014,0.0016
도시대기,경기도,성남,수내동,0.0018,0.0015,0.0015,0.0014,0.0014,0.0013
도시대기,경기도,성남,복정동,0.0024,0.0015,0.0017,0.0018,0.0023,0.0024
도시대기,경기도,성남,상대원동,0.0024,0.0021,0.002,0.0014,0.0015,0.0017
도시대기,경기도,성남,운중동,0.0022,0.0019,0.0017,0.0014,0.0013,0.0013
도시대기,경기도,의정부,의정부동,0.0031,0.003,0.0029,0.0028,0.0031,0.0029
도시대기,경기도,의정부,의정부1동,0.0031,0.0035,0.0024*,0.0025,0.0024,0.0025
도시대기,경기도,의정부,송산3동,0.0029,0.0026,0.0026,0.0025,0.0026,0.0026
도시대기,경기도,광명,철산동,0.0018,0.0014*,0.0017,0.0015,0.0013,0.001
도시대기,경기도,광명,소하동,0.0017**,0.0015*,0.0015,0.0012,0.0014,0.0014
도시대기,경기도,안산,고잔동,0.0031,0.0026,0.0027,0.0027,0.0026,0.0024
도시대기,경기도,안산,원시동,0.0054,0.0044,0.0041,0.0045,0.0039,0.0033
도시대기,경기도,안산,본오동,0.0025,0.002,0.002,0.0017,0.0019,0.0022
도시대기,경기도,안산,원곡동,0.0025,0.0022,0.0022,0.0016,0.002,0.0019
도시대기,경기도,안산,부곡동,0.0033,0.0026,0.0026,0.0026,0.0027,0.0026
도시대기,경기도,안산,대부동,0.0031,0.0028,0.0031,0.0031,0.0032,0.0031
도시대기,경기도,안산,호수동,0.003,0.0026,0.0031,0.0025,0.0023,0.0022
도시대기,경기도,평택,고덕동,0.0034,0.0031,0.0032,0.0029,0.0029,0.0039
도시대기,경기도,평택,비전동,0.0025,0.0026,0.004,0.003,0.0031,0.0031
도시대기,경기도,평택,안중,0.0025,0.0023,0.0026,0.0028,0.0027,0.0028
도시대기,경기도,평택,평택항,0.0028,0.002,0.0029,0.0032,0.0027,0.0031
도시대기,경기도,평택,송북동,0.0039,0.0034,0.0033,0.0028*,0.003,0.0037
도시대기,경기도,평택,청북읍,0.0033,0.0034,0.0031,0.0025,0.0028,0.0025
도시대기,경기도,과천,별양동,0.0017,0.0012,0.0012,0.0009,0.0014,0.0011
도시대기,경기도,과천,과천동,0.0019,0.0014,0.0014,0.0009,0.0009,0.0011
도시대기,경기도,구리,교문동,0.0026,0.0027,0.0023,0.0019,0.0022,0.0025
도시대기,경기도,구리,동구동,0.0028,0.0028,0.0026,0.0025,0.0026,0.003
도시대기,경기도,의왕,부곡3동,0.0019,0.0015,0.0018,0.0014,0.0013,0.0013
도시대기,경기도,의왕,고천동,0.0018,0.0013,0.0013,0.0011,0.001,0.0009
도시대기,경기도,고양,행신동,0.0029,0.0024,0.002,0.0018,0.0029,0.002
도시대기,경기도,고양,식사동,0.0031,0.0028,0.0032,0.0027,0.0029,0.0025
도시대기,경기도,고양,신원동,0.0034,0.003,0.003,0.0022,0.0023,0.0020*
도시대기,경기도,고양,주엽동,0.0027,0.0026,0.0028,0.0026,0.0026,0.0017
도시대기,경기도,광주,경안동,0.0019,0.0014,0.0015,0.0013,0.0014,0.0015
도시대기,경기도,광주,오포1동,0.0015,0.0011,0.0011,0.0009,0.001,0.0012
도시대기,경기도,광주,곤지암,0.0022,0.0013,0.0013,0.0013,0.0013,0.0015
도시대기,경기도,군포,당동,0.0017,0.0012,0.0014,0.0021,0.002,0.0029
도시대기,경기도,군포,산본동,0.0027,0.0024,0.0028,0.0027,0.0028,0.0031
도시대기,경기도,시흥,정왕동,0.0031,0.0027,0.003,0.0034,0.0024,0.0023
도시대기,경기도,시흥,시화산단,0.0024,0.0031,0.0034,0.0023,0.0024,0.0025
도시대기,경기도,시흥,대야동,0.0021,0.0016,0.002,0.002,0.0026,0.0029
도시대기,경기도,시흥,목감동,0.0026,0.0021,0.0026,0.0026,0.0026,0.0028
도시대기,경기도,시흥,장현동,0.0028,0.0027,0.0026,0.0025,0.0024,0.0024
도시대기,경기도,시흥,배곧동,0.0035,0.003,0.0034,0.0033,0.0033,0.0024
도시대기,경기도,부천,소사본동,0.0021,0.002,0.0025,0.0028,0.0021,0.0012
도시대기,경기도,부천,내동,0.0025,0.0023,0.0024,0.0025,0.0037,0.0035
도시대기,경기도,부천,중2동,0.0018,0.0015,0.0018,0.0014,0.0014,0.0013
도시대기,경기도,부천,오정1동,0.0022,0.0018,0.0019,0.0015,0.0012,0.0013
도시대기,경기도,남양주,진접읍,0.0025,0.0021,0.002,0.0017,0.0016,0.0017
도시대기,경기도,남양주,와부읍,0.0024,0.0021,0.0021,0.002,0.0019,0.0019
도시대기,경기도,남양주,금곡동,0.0023,0.002,0.002,0.0017,0.0016,0.0017
도시대기,경기도,남양주,오남읍,0.0021,0.0019,0.0017,0.002,0.0016,0.0016**
도시대기,경기도,남양주,별내동,0.0022,0.0021,0.0021,0.0021,0.0021,0.002
도시대기,경기도,남양주,화도읍,0.0029,0.0025,0.0027,0.0024,0.0022,0.0021
도시대기,경기도,용인,김량장동,0.0013,0.0011,0.0013,0.0011,0.0011,0.0011
도시대기,경기도,용인,수지,0.0015,0.0013,0.0014,0.0012,0.0011,0.001
도시대기,경기도,용인,기흥,0.0015,0.001,0.001,0.0012,0.0011,0.0013
